memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], name, pci.bus_id, compute_mode, fan.speed [%], pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], uuid
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 53, 25.35 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-cb839775-2dd6-9b60-18ee-a0443d2c518d
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 47, 27.60 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-29d21b6f-8b4a-f755-7811-63deef2c09b8
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 49, 25.73 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-6bc2ac86-f52c-1a40-3ee2-40e1120860f3
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 44, 25.06 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-21173b58-066d-c51a-a2ed-05419cf53ba6
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 53, 25.26 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-cb839775-2dd6-9b60-18ee-a0443d2c518d
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 47, 27.51 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-29d21b6f-8b4a-f755-7811-63deef2c09b8
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 49, 25.73 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-6bc2ac86-f52c-1a40-3ee2-40e1120860f3
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 43, 24.97 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:D8:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-21173b58-066d-c51a-a2ed-05419cf53ba6
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 53, 25.26 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:06:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-cb839775-2dd6-9b60-18ee-a0443d2c518d
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 47, 27.50 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-29d21b6f-8b4a-f755-7811-63deef2c09b8
32768 MiB, 0 MiB, 32510 MiB, 0 %, 0 %, 48, 25.73 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:86:00.0, Default, [N/A], P0, 135 MHz, 877 MHz, GPU-6bc2ac86-f52c-1a40-3ee2-40e1120860f3
