memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], name, pci.bus_id, compute_mode, fan.speed [%], pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], uuid
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 40, 25.73 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 40, 25.72 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 39, 25.46 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 39, 25.82 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 39, 25.73 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 39, 25.46 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 39, 25.45 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 39, 25.56 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 25.46 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 25.45 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 25.72 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 25.46 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 25.45 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-8b262992-0685-47f9-bdea-640e0ed36994
