memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], name, pci.bus_id, compute_mode, fan.speed [%], pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], uuid
46080 MiB, 21 MiB, 45535 MiB, 1 %, 0 %, 37, 15.31 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 209 MiB, 45347 MiB, 0 %, 0 %, 38, 58.72 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 229 MiB, 45327 MiB, 0 %, 0 %, 39, 58.52 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 253 MiB, 45303 MiB, 1 %, 0 %, 39, 58.52 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 293 MiB, 45263 MiB, 0 %, 0 %, 39, 58.78 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 341 MiB, 45215 MiB, 1 %, 0 %, 39, 58.53 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 399 MiB, 45157 MiB, 1 %, 0 %, 39, 58.49 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 449 MiB, 45107 MiB, 1 %, 0 %, 39, 58.51 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 545 MiB, 45011 MiB, 2 %, 0 %, 39, 58.49 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 583 MiB, 44973 MiB, 0 %, 0 %, 39, 58.78 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 583 MiB, 44973 MiB, 0 %, 0 %, 39, 58.78 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 583 MiB, 44973 MiB, 0 %, 0 %, 39, 58.83 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 583 MiB, 44973 MiB, 0 %, 0 %, 39, 58.74 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 583 MiB, 44973 MiB, 0 %, 0 %, 39, 58.64 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 583 MiB, 44973 MiB, 0 %, 0 %, 39, 58.52 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 583 MiB, 44973 MiB, 0 %, 0 %, 39, 58.81 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 665 MiB, 44891 MiB, 1 %, 0 %, 39, 58.87 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 745 MiB, 44811 MiB, 1 %, 0 %, 39, 58.52 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
46080 MiB, 811 MiB, 44745 MiB, 0 %, 0 %, 39, 58.77 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P0, 1230 MHz, 6500 MHz, GPU-a9c50edc-0757-21bb-c360-cdd037a3d101
