memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], name, pci.bus_id, compute_mode, fan.speed [%], pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], uuid
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 28.04 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-aded7ecc-a6b4-dab6-5f11-9dffef4b6a6d
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 33, 24.61 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a3931a07-cc62-8100-3885-336324bec2a0
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 50, 27.45 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-c05433d0-a491-09c2-4656-5fa4f3c8e76a
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 33, 25.20 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a80435c3-f187-db6d-4cf2-a7ef0e05266c
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 28.04 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-aded7ecc-a6b4-dab6-5f11-9dffef4b6a6d
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 33, 24.61 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a3931a07-cc62-8100-3885-336324bec2a0
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 50, 27.45 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-c05433d0-a491-09c2-4656-5fa4f3c8e76a
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 33, 25.20 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a80435c3-f187-db6d-4cf2-a7ef0e05266c
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 27.79 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-aded7ecc-a6b4-dab6-5f11-9dffef4b6a6d
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 33, 24.51 W, 250.00 W, Quadro RTX 8000, 00000000:2F:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a3931a07-cc62-8100-3885-336324bec2a0
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 50, 27.35 W, 250.00 W, Quadro RTX 8000, 00000000:86:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-c05433d0-a491-09c2-4656-5fa4f3c8e76a
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 33, 25.44 W, 250.00 W, Quadro RTX 8000, 00000000:D8:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-a80435c3-f187-db6d-4cf2-a7ef0e05266c
46080 MiB, 0 MiB, 45556 MiB, 0 %, 0 %, 38, 27.79 W, 250.00 W, Quadro RTX 8000, 00000000:06:00.0, Default, [N/A], P8, 300 MHz, 405 MHz, GPU-aded7ecc-a6b4-dab6-5f11-9dffef4b6a6d
